time_s,transmitter,receiver,source_mac,dest_mac,packet_name,packet_bytes
259.930074707,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2299",236
259.930338886,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2299",236
259.940074669,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2299",236
259.950074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2299",236
259.950249174,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2299",236
260.000075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2300",236
260.000265358,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-460",136
260.010075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2300",236
260.020074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2300",236
260.020284854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2300",236
260.030074710,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2300",236
260.030302888,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2300",236
260.040074666,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2300",236
260.050074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2300",236
260.050231174,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2300",236
260.050466353,gateway,uav2,0A-AA-00-00-00-02,0A-AA-00-00-00-05,"GcsCommand-460",136
260.100075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2301",236
260.100220358,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-460",136
260.100401033,uav1,uav3,0A-AA-00-00-00-04,0A-AA-00-00-00-06,"GcsCommand-460",136
260.110075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2301",236
260.120074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2301",236
260.120275854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2301",236
260.130074712,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2301",236
260.130320891,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2301",236
260.140074663,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2301",236
260.150074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2301",236
260.150212353,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-460",136
260.150458532,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2301",236
260.150595423,uav1,uav4,0A-AA-00-00-00-04,0A-AA-00-00-00-07,"GcsCommand-460",136
260.200075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2302",236
260.200327841,gateway,uav5,0A-AA-00-00-00-02,0A-AA-00-00-00-08,"GcsCommand-460",136
260.210075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2302",236
260.220074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2302",236
260.220248854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2302",236
260.230074715,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2302",236
260.230257894,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2302",236
260.240074661,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2302",236
260.250074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2302",236
260.250311353,gateway,uav1,0A-AA-00-00-00-02,0A-AA-00-00-00-04,"GcsCommand-460",136
260.250476532,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2302",236
260.250640706,uav1,uav6,0A-AA-00-00-00-04,0A-AA-00-00-00-09,"GcsCommand-460",136
260.300075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2303",236
260.310075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2303",236
260.320074675,uav3,uav1,0A-AA-00-00-00-06,0A-AA-00-00-00-04,"UavTelemetry-2303",236
260.320266854,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2303",236
260.330074717,uav4,uav1,0A-AA-00-00-00-07,0A-AA-00-00-00-04,"UavTelemetry-2303",236
260.330230896,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2303",236
260.340074658,uav5,gateway,0A-AA-00-00-00-08,0A-AA-00-00-00-02,"UavTelemetry-2303",236
260.350074995,uav6,uav1,0A-AA-00-00-00-09,0A-AA-00-00-00-04,"UavTelemetry-2303",236
260.350312174,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2303",236
260.400075179,uav1,gateway,0A-AA-00-00-00-04,0A-AA-00-00-00-02,"UavTelemetry-2304",236
260.410075179,uav2,gateway,0A-AA-00-00-00-05,0A-AA-00-00-00-02,"UavTelemetry-2304",236
